PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
80318F68,kdd09-d62,efficient methods for topic model inference on streaming document collections,kdd,kdd09,2009,university of massachusetts amherst,david mimno|limin yao|andrew mccallum,7A1738CB|7F08F36E|803BCE26,sampling methods|gibbs sampling|high dimensional data|performance|topic modeling
05E58C7B,kdd98-d35,large datasets lead to overly complex models an explanation and a solution,kdd,kdd98,1998,,tim oates|david jensen,7E9A1AE1|83E2390A,na
7B7F7D11,kdd07-d71,learning the kernel matrix in discriminant analysis via quadratically constrained quadratic programming,kdd,kdd07,2007,arizona state university,jianhui chen|jieping ye|shuiwang ji,8019BB07|8118A14E|802132F1,convex combination|convex optimization|interior point method|model selection|quadratically constrained quadratic program|kernel method|kernel function|feature space|kernel discriminant analysis|discriminant analysis
766FE338,kdd00-d42,identifying prospective customers,kdd,kdd00,2000,ibm,dimitrios gunopulos|pasumarti v kamesam|edna grossman|paul b chou,7E4F8604|62B8C0B1|7F5F3BE0|7F9F15F5,market research|data mining
762467DF,kdd15-p517,leveraging social context for modeling topic evolution,kdd,kdd15,2015,yahoo,diego saeztrumper|hossein vahabi|janani kalyanam|gert lanckriet|amin mantrach,85FC2EE7|78DC5C06|0395A653|828F6323|7C4605FA,social networks
754538E2,kdd00-d19,data mining solves tough semiconductor manufacturing problems,kdd,kdd00,2000,motorola,jack bieker|m w gardner,8068C070|7ED73155,neural networks|self organizing maps|neural network|pattern recognition|machine learning|self organization|process control|statistical analysis|semiconductor manufacturing|data mining|design of experiment
7D539A4A,kdd10-d115,multi task learning for boosting with application to web search ranking,kdd,kdd10,2010,washington university in st louis,ya zhang|pannagadatta k shivaswamy|belle tseng|srinivas vadrevu|kilian q weinberger|olivier chapelle,781A5469|77713473|717BA48A|837FF6C9|7DD7E6F0|769ECF96,boosting|ranking|decision tree|decision trees|multi task learning
795EAF78,kdd09-d38,co evolution of social and affiliation networks,kdd,kdd09,2009,university of maryland college park,lise getoor|hossam sharara|elena zheleva,764FCAE4|6D8A2037|7ED6CCC3,complex network|social network|evolution
7BDAA981,kdd15-p189,dynamic matrix factorization with priors on unknown values,kdd,kdd15,2015,telefonica,nicolas kourtellis|robin devooght|amin mantrach,78DC5C06|8511229C|040502DA,matrix factorization|collaborative filtering|recommender systems
7B870A4F,kdd05-d51,finding partial orders from unordered 0 1 data,kdd,kdd05,2005,helsinki university of technology,heikki mannila|antti ukkonen|mikael fortelius,74B29E2B|14C5CD8D|12857062,genetics|partial order|difference in differences|total order|score function
7F5AD4D2,kdd10-d167,using data mining techniques to address critical information exchange needs in disaster affected public private networks,kdd,kdd10,2010,florida international university,shuching chen|li zheng|tao li|liang tang|vagelis hristidis|steve luis|chao shen,7ED964CC|7FF1C9E5|80D570B8|7E44F07E|7DD3014F|0E3B95F3|84A91F33,emergency management|disaster recovery|information exchange|information extraction|data mining|real time|disaster management|public sector|multi document summarization
7CFAEF52,kdd08-d51,entity categorization over large document collections,kdd,kdd08,2008,university of california irvine,venkatesh ganti|arnd christian konig|rares vernica,66E36228|8091FAC7|7A2ED786,information extraction|data analysis
75B822D8,kdd07-d57,from frequent itemsets to semantically meaningful visual patterns,kdd,kdd07,2007,northwestern university,junsong yuan|ming yang|ying wu,7D1130B5|7CCC9290|7D541751,spatial dependence|data mining
7CD118CC,kdd07-d8,a spectral clustering approach to optimally combining numericalvectors with a modular network,kdd,kdd07,2007,kyoto university,ichigaku takigawa|motoki shiga|hiroshi mamitsuka,034B2A69|7C4D1E6E|1095EE85,term frequency|web pages|k means|graph clustering|spectral clustering|gene network
780DB557,kdd14-d122,semantic visualization for spherical representation,kdd,kdd14,2014,singapore management university,tuan m v le|hady w lauw,7FCB7F42|78A7AD54,generative model|topic model|dimensionality reduction
77310ABF,kdd13-d32,big data analytics with small footprint squaring the cloud,kdd,kdd13,2013,university of california berkeley,john canny|huasha zhao,7D44062A|80CE4EF6,machine learning|data mining|cluster
7806F5B9,kdd08-d59,generating succinct titles for web urls,kdd,kdd08,2008,yahoo,deepayan chakrabarti|ravi kumar|kunal punera,77561DC3|82817E59|7EA3D2C5,algorithms|web pages|sitemaps|search engine
77E306D2,kdd09-d123,optimizing web traffic via the media scheduling problem,kdd,kdd09,2009,cornell university,jon kleinberg|ravi kumar|lars backstrom,7CF194F2|0C915F07|85B53356,click through rate|scheduling problem
7771063A,kdd15-p249,more constraints smaller coresets constrained matrix approximation of sparse big data,kdd,kdd15,2015,university of haifa,dan feldman|tamir tassa,82A2999D|0446216D,na
811F33C3,kdd14-d74,lasta large scale topic assignment on multiple social networks,kdd,kdd14,2014,,adithya rao|jinyun yan|prantik bhattacharyya|nemanja spasojevic,84BD284B|84E021CD|84AE0069|8005A8B9,distributed systems|user modeling
7CA21D6C,kdd13-d167,speeding up large scale learning with a social prior,kdd,kdd13,2013,amazon com,ralf herbrich|deepayan chakrabarti,82817E59|84C6E615,mixture model
051FB1DC,kdd12-d47,proceedings of the 1st international workshop on cross domain knowledge discovery in web and social network mining,kdd,kdd12,2012,yahoo,bo long|yi chang|hang li,7E1E0835|8139101A|7EE1FB1B,na
7CF13BC9,kdd11-d49,diversity in ranking via resistive graph centers,kdd,kdd11,2011,ibm,soumen chakrabarti|avinava dubey|chiranjib bhattacharyya,7D5E91AA|7DE9CB68|814CF93B,maximum entropy|set cover|social network|search engine|information need|ranking|graph|conductance
76DCEF25,kdd06-d72,mining quantitative correlated patterns using an information theoretic approach,kdd,kdd06,2006,hong kong university of science and technology,yiping ke|wilfred ng|james cheng,815A4B73|80FCDD03|7F13CFA2,mutual information
7DA01A16,kdd03-d78,sewep using site semantics and a taxonomy to enhance the web personalization process,kdd,kdd03,2003,athens university of economics and business,iraklis varlamis|michalis vazirgiannis|magdalini eirinaki,0E6FCD7F|721CE89B|0EE02160,web personalization|web usage mining|web mining
75E0F95A,kdd13-d36,collaborative boosting for activity classification in microblogs,kdd,kdd13,2013,hong kong university of science and technology,yangqiu song|zhengdong lu|cane wingki leung|qiang yang,7FA32283|7E1AB054|7E5E4F30|8538C8B7,boosting
798974AD,kdd12-d9,a simple methodology for soft cost sensitive classification,kdd,kdd12,2012,academia sinica,tekang jan|hsuantien lin|chihung lin|dawei wang,7DF48BCC|7ED116B9|8473E1C7|7E6F86E5,multicriteria optimization|regularization|error rate|classification
7C54250E,kdd12-d185,seqibloc mining multi time spanning blockmodels in dynamic graphs,kdd,kdd12,2012,university of melbourne,jeffrey chan|kotagiri ramamohanarao|wei liu|james bailey|christopher leckie,823F7E77|860BCDA8|07598D4A|7DDFFEEF|7ED06547,minimum description length|change point detection
77B78357,kdd02-d18,clustering seasonality patterns in the presence of errors,kdd,kdd02,2002,mit sloan school of management,mahesh kumar|n r patel|jonathan woo,7D88D58B|7E32C3AC|84DCE590,forecasting|hierarchical clustering|scale invariance|clustering|distance function|product life cycle|euclidean distance|gaussian distribution|seasonality|measurement error|time series
